gender,Area,type,ctc,math_score,reading_score,writing_score
male,West,Development,0,73,78,72
male,North,Development,0,96,96,99
male,West,Development,0,76,76,74
female,West,Development,0,91,73,80
male,West,Development,0,62,72,70
male,West,Development,0,55,59,59
female,South,Support,0,74,90,88
female,West,Development,0,50,48,42
male,North,Development,0,47,43,41
male,North,Development,0,81,74,71
female,North,Development,0,65,75,77
male,South,Development,0,68,51,57
female,South,Development,0,73,92,84
male,South,Development,0,53,39,37
male,South,Development,0,68,77,80
female,South,Development,0,55,46,43
female,South,Development,0,87,89,94
male,South,Development,0,55,47,44
female,South,Development,0,53,58,57
male,South,Development,0,67,57,59
male,South,Development,0,92,79,84
male,North,Development,0,53,66,73
male,North,Development,0,81,71,73
male,South,Development,0,61,60,55
male,South,Development,0,80,73,72
male,North,Development,0,37,57,56
female,North,Development,0,81,84,82
male,West,Development,0,59,73,72
male,South,Development,0,55,55,47
female,South,Development,0,72,79,74
male,West,Development,0,69,75,71
male,South,Development,0,69,64,68
male,South,Development,0,50,60,59
female,North,Development,0,87,84,86
female,South,Development,0,71,69,68
male,South,Development,0,68,72,65
female,South,Development,0,79,77,75
female,South,Development,0,77,90,85
male,North,Development,0,58,55,53
female,South,Development,0,84,95,92
female,South,Development,0,55,58,52
female,South,Development,0,70,68,72
male,East,Development,0,52,59,65
female,North,Development,0,69,77,77
male,South,Development,0,53,72,64
female,South,Development,0,48,58,54
female,South,Development,0,78,81,86
female,West,Development,0,62,62,63
male,South,Development,0,60,63,59
female,South,Development,0,74,72,72
female,South,Development,0,58,75,77
male,South,Development,0,76,62,60
female,North,Development,0,68,71,75
male,South,Development,0,58,60,57
female,South,Development,0,52,48,49
male,South,Development,0,75,73,74
female,South,Development,0,52,67,72
female,South,Development,0,62,78,79
female,South,Development,0,66,65,60
female,South,Development,0,49,58,55
male,East,Development,0,66,72,70
male,West,Development,0,35,44,43
female,West,Development,0,72,79,82
female,South,Development,0,94,85,82
male,South,Development,0,46,56,57
male,North,Development,0,77,90,84
female,South,Development,0,76,85,82
female,South,Development,0,52,59,62
female,North,Development,0,91,81,79
female,North,Development,0,32,51,44
female,East,Development,0,72,79,77
male,North,Development,0,19,38,32
female,West,Development,0,68,65,61
female,North,Development,0,52,65,61
male,North,Development,0,48,62,60
male,West,Development,0,60,66,70
female,North,Development,0,66,74,69
male,West,Development,0,89,84,77
female,South,Development,0,42,52,51
male,South,Development,0,57,68,73
male,West,Development,0,70,70,70
male,North,Development,0,70,84,81
female,West,Development,0,69,60,54
male,South,Development,0,52,55,57
female,North,Development,0,67,73,68
male,West,Development,0,76,80,73
male,North,Development,0,87,94,95
male,North,Development,0,82,85,87
male,West,Development,0,73,76,78
male,West,Development,0,75,81,74
